BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B
α¹ Centauri,Rigil Kentaurus,0.751,1.3315579227696406,0.94,-0.01,0.7,5800.0,14.659972222222223,-59.16472222222222,14h 39m 35.9s,-60° 50′ 07″,9.57,8.82,7.84
α Boötis,Arcturus,0.09,11.11111111111111,2.46,-0.04,1.19,4850.0,14.261027777777779,19.1825,14h 15m 39.7s,+19° 10′ 57″,9.26,14.02,10.84
α Carinae,Canopus,0.028,35.714285714285715,-0.47,-0.72,-0.57,7500.0,6.399194444444445,-51.30416666666667,06h 23m 57.1s,-52° 41′ 45″,8.46,7.27,7.45
α Canis Majoris,Sirius,0.375,2.6666666666666665,-1.51,-1.46,-1.46,9750.0,6.752472222222222,-15.283888888888889,06h 45m 08.9s,-16° 42′ 58″,7.44,6.78,6.8
α Lyrae,Vega,0.123,8.130081300813009,0.019999999999999997,0.03,0.03,10000.0,18.615638888888892,38.78361111111111,18h 36m 56.3s,+38° 47′ 01″,3.49,3.3,3.28
α Aurigae,Capella,0.073,13.698630136986303,1.32,0.08,0.88,5500.0,5.2781666666666665,45.99805555555556,05h 16m 41.4s,+45° 59′ 53″,9.67,9.59,8.41
β Orionis,Rigel,0.013,76.92307692307692,-0.5700000000000001,0.12,0.09,14000.0,5.242305555555555,-7.798333333333333,05h 14m 32.3s,-08° 12′ 06″,2.61,2.16,2.01
α Canis Minoris,Procyon,0.288,3.4722222222222223,0.8200000000000001,0.38,0.8,6750.0,7.655027777777778,5.2250000000000005,07h 39m 18.1s,+05° 13′ 30″,6.26,5.33,5.04
α Eridani,Achernar,0.026,38.46153846153846,-0.36,0.46,0.30000000000000004,24000.0,1.6285833333333333,-56.763333333333335,01h 37m 42.9s,-57° 14′ 12″,1.31,1.24,1.12
α Orionis,Betelgeuse,0.005,200.0,4.41,0.5,2.35,3350.0,5.919527777777778,7.406944444444445,05h 55m 10.3s,+07° 24′ 25″,23.39,37.41,28.54
β Centauri,Hadar,0.009,111.11111111111111,-0.6,0.61,0.38,28000.0,14.063722222222223,-59.62694444444445,14h 03m 49.4s,-60° 22′ 23″,1.3,1.07,0.98
α Aquilae,Altair,0.198,5.05050505050505,1.07,0.77,0.99,8250.0,19.84638888888889,8.868333333333334,19h 50m 47.0s,+08° 52′ 06″,3.28,3.11,2.98
α Tauri,Aldebaran,0.048,20.833333333333332,4.29,0.85,2.39,4250.0,4.5986666666666665,16.509166666666665,04h 35m 55.2s,+16° 30′ 33″,7.09,13.72,10.01
α Scorpii,Antares,0.024,41.666666666666664,4.13,0.96,2.79,3350.0,16.490111111111112,-25.568055555555553,16h 29m 24.4s,-26° 25′ 55″,26.61,30.27,23.31
α Virginis,Spica,0.023,43.47826086956522,-0.18000000000000005,0.98,0.75,28000.0,13.419888888888888,-10.838611111111112,13h 25m 11.6s,-11° 09′ 41″,1.08,0.9,0.83
β Geminorum,Pollux,0.094,10.638297872340425,2.9899999999999998,1.14,2.1399999999999997,5000.0,7.75525,28.02611111111111,07h 45m 18.9s,+28° 01′ 34″,6.42,7.5,6.33
α Piscis Austrini,Fomalhaut,0.149,6.7114093959731544,1.33,1.16,1.25,9250.0,22.96086111111111,-28.377777777777776,22h 57m 39.1s,-29° 37′ 20″,2.24,2.18,2.14
β Crucis,Mimosa,,,0.020000000000000018,1.25,1.02,30000.0,12.795333333333334,-58.31138888888889,12h 47m 43.2s,-59° 41′ 19″,0.94,0.77,0.7
α Cygni,Deneb,-0.006,-166.66666666666666,1.1,1.25,1.34,9500.0,20.690527777777778,45.280277777777776,20h 41m 25.9s,+45° 16′ 49″,2.36,2.02,1.96
α¹ Crucis,Acrux,0.008,125.0,0.06000000000000005,1.33,1.09,30000.0,12.443305555555556,-62.90083333333333,12h 26m 35.9s,-63° 05′ 57″,0.92,0.75,0.68
α² Centauri,,0.751,1.3315579227696406,2.89,1.33,2.21,4850.0,14.660027777777778,-59.16444444444444,14h 39m 36.1s,-60° 50′ 08″,7.6,7.46,6.77
α Leonis,Regulus,0.045,22.22222222222222,0.88,1.35,1.24,16000.0,10.139527777777777,11.967222222222222,10h 08m 22.3s,+11° 58′ 02″,1.12,1.09,1.02
ε Canis Majoris,Adhara,0.001,1000.0,0.36,1.5,1.29,26000.0,6.977083333333334,-27.02777777777778,06h 58m 37.5s,-28° 58′ 20″,0.89,0.74,0.68
γ Crucis,Gacrux,,,5.0,1.63,3.2199999999999998,3050.0,12.519416666666668,-56.88666666666666,12h 31m 09.9s,-57° 06′ 48″,31.85,32.87,30.83
λ Scorpii,Shaula,,,0.5199999999999999,1.63,1.41,26000.0,17.56013888888889,-36.89611111111111,17h 33m 36.5s,-37° 06′ 14″,0.82,0.7,0.64
γ Orionis,Bellatrix,0.029,34.48275862068965,0.5499999999999999,1.64,1.42,26000.0,5.418861111111111,6.349722222222222,05h 25m 07.9s,+06° 20′ 59″,0.81,0.69,0.64
β Tauri,Elnath,0.028,35.714285714285715,1.03,1.65,1.52,16000.0,5.438194444444445,28.6075,05h 26m 17.5s,+28° 36′ 27″,1.05,0.95,0.9
β Carinae,Miaplacidus,0.021,47.61904761904761,1.71,1.68,1.68,9500.0,9.22,-68.28277777777778,09h 13m 12.0s,-69° 43′ 02″,1.78,1.66,1.67
ε Orionis,Alnilam,-0.002,-500.0,0.47,1.7,1.51,30000.0,5.603555555555555,-0.7980555555555556,05h 36m 12.8s,-01° 12′ 07″,0.76,0.63,0.56
α² Crucis,,0.008,125.0,0.52,1.73,1.47,28000.0,12.443472222222223,-62.900555555555556,12h 26m 36.5s,-63° 05′ 58″,0.78,0.64,0.59
α Gruis,Alnair,0.057,17.543859649122805,1.14,1.74,1.6099999999999999,16000.0,22.13722222222222,-45.038888888888884,22h 08m 14.0s,-46° 57′ 40″,0.99,0.91,0.86
ε Ursae Majoris,Alioth,0.009,111.11111111111111,1.77,1.77,1.75,10000.0,12.900472222222223,55.959722222222226,12h 54m 01.7s,+55° 57′ 35″,1.56,1.48,1.49
γ² Velorum,,0.017,58.8235294117647,0.5700000000000001,1.78,1.56,14086.0,8.158888888888889,-46.663333333333334,08h 09m 32.0s,-47° 20′ 12″,1.53,1.0,1.01
α Persei,Mirfak,0.016,62.5,2.64,1.79,2.27,6750.0,3.405388888888889,49.861111111111114,03h 24m 19.4s,+49° 51′ 40″,2.71,2.79,2.56
α Ursae Majoris,Dubhe,0.038,26.315789473684212,3.7800000000000002,1.79,2.8600000000000003,5000.0,11.062138888888889,61.75083333333333,11h 03m 43.7s,+61° 45′ 03″,4.46,5.56,4.54
δ Canis Majoris,Wezen,-0.011,-90.90909090909092,3.06,1.84,2.52,6300.0,7.139861111111111,-25.606666666666666,07h 08m 23.5s,-26° 23′ 36″,2.75,3.14,2.71
ε Sagittarii,Kaus Australis,0.023,43.47826086956522,1.69,1.85,1.82,12000.0,18.40286111111111,-33.61527777777778,18h 24m 10.3s,-34° 23′ 05″,1.16,1.14,1.1
ε Carinae,Avior,,,3.33,1.86,3.14,4550.0,8.375222222222222,-58.49027777777778,08h 22m 30.8s,-59° 30′ 35″,8.12,7.01,5.51
η Ursae Majoris,Alkaid,0.035,28.57142857142857,1.0,1.86,1.6700000000000002,24000.0,13.792333333333334,49.31333333333333,13h 47m 32.4s,+49° 18′ 48″,0.7,0.65,0.6
θ Scorpii,Sargas,0.027,37.03703703703704,2.49,1.87,2.27,7350.0,17.622,-41.00222222222222,17h 37m 19.2s,-42° 59′ 52″,2.28,2.29,2.1
β Aurigae,Menkalinan,0.041,24.390243902439025,1.98,1.9,1.93,9500.0,5.992138888888889,44.9475,05h 59m 31.7s,+44° 56′ 51″,1.57,1.5,1.49
α Trianguli Australis,Atria,0.031,32.25806451612903,4.92,1.92,3.36,4700.0,16.811083333333332,-68.97222222222223,16h 48m 39.9s,-69° 01′ 40″,3.4,6.21,4.44
γ Geminorum,Alhena,0.033,30.3030303030303,1.97,1.93,1.93,10000.0,6.628527777777778,16.399166666666666,06h 37m 42.7s,+16° 23′ 57″,1.42,1.38,1.37
α Pavonis,Peacock,,,1.03,1.94,1.74,26000.0,20.427472222222224,-55.265,20h 25m 38.9s,-56° 44′ 06″,0.65,0.6,0.55
δ Velorum,,0.051,19.607843137254903,2.07,1.96,2.0,9750.0,8.745055555555554,-53.291666666666664,08h 44m 42.2s,-54° 42′ 30″,1.43,1.4,1.38
β Canis Majoris,Mirzam,0.019,52.631578947368425,0.77,1.98,1.75,28000.0,6.378333333333333,-16.04416666666667,06h 22m 42.0s,-17° 57′ 21″,0.69,0.57,0.52
α Geminorum,Castor,0.067,14.925373134328357,2.0199999999999996,1.98,2.01,9750.0,7.576666666666666,31.888333333333332,07h 34m 36.0s,+31° 53′ 18″,1.46,1.39,1.38
α Hydrae,Alphard,0.022,45.45454545454546,5.14,1.98,3.42,4550.0,9.459777777777777,-7.341388888888889,09h 27m 35.2s,-08° 39′ 31″,3.53,6.63,4.84
,,,,,2.0,2.1,24000.0,15.991722222222222,25.92027777777778,15h 59m 30.2s,+25° 55′ 13″,,0.61,0.49
α Arietis,Hamal,0.049,20.408163265306122,4.27,2.0,3.15,4700.0,2.1195555555555554,23.4625,02h 07m 10.4s,+23° 27′ 45″,4.58,5.98,4.89
α Ursae Minoris,Polaris,0.007,142.85714285714286,3.0,2.02,2.62,6450.0,2.530194444444444,89.26416666666667,02h 31m 48.7s,+89° 15′ 51″,2.63,2.75,2.44
σ Sagittarii,Nunki,,,1.05,2.02,1.8,26000.0,18.921083333333335,-25.703333333333333,18h 55m 15.9s,-26° 17′ 48″,0.64,0.58,0.53
β Ceti,Diphda,0.061,16.39344262295082,3.93,2.04,3.06,5100.0,0.7265,-16.013333333333332,00h 43m 35.4s,-17° 59′ 12″,3.85,4.7,3.89
ζ Orionis,Alnitak,0.024,41.666666666666664,0.7699999999999998,2.05,1.8399999999999999,33000.0,5.679305555555556,-0.05722222222222221,05h 40m 45.5s,-01° 56′ 34″,0.62,0.51,0.46
α Andromedae,Alpheratz,0.032,31.25,1.49,2.06,1.95,14000.0,0.13980555555555554,29.090555555555554,00h 08m 23.3s,+29° 05′ 26″,1.01,0.89,0.85
β Andromedae,Mirach,0.049,20.408163265306122,5.6,2.06,3.64,3500.0,1.1621944444444443,35.620555555555555,01h 09m 43.9s,+35° 37′ 14″,10.5,15.38,12.79
κ Orionis,Saiph,0.015,66.66666666666667,0.8600000000000001,2.06,1.8900000000000001,30000.0,5.795944444444444,-8.330277777777779,05h 47m 45.4s,-09° 40′ 11″,0.64,0.53,0.47
θ Centauri,Menkent,0.065,15.384615384615383,3.9400000000000004,2.06,3.0700000000000003,5000.0,14.111388888888888,-35.63,14h 06m 41.0s,-36° 22′ 12″,4.15,4.91,4.12
β Ursae Minoris,Kochab,0.039,25.641025641025642,5.33,2.08,3.55,4400.0,14.845083333333333,74.15555555555557,14h 50m 42.3s,+74° 09′ 20″,3.75,7.0,5.15
α Ophiuchi,Rasalhague,0.067,14.925373134328357,2.33,2.08,2.23,8750.0,17.58225,12.56,17h 34m 56.1s,+12° 33′ 36″,1.6,1.55,1.5
β Gruis,,0.008,125.0,5.37,2.1,3.7,2750.0,22.71113888888889,-45.11527777777778,22h 42m 40.1s,-46° 53′ 05″,54.47,42.64,44.24
β Persei,Algol,0.045,22.22222222222222,1.7000000000000002,2.12,2.0700000000000003,14000.0,3.136138888888889,40.955555555555556,03h 08m 10.1s,+40° 57′ 20″,0.92,0.86,0.81
β Leonis,Denebola,0.082,12.195121951219512,2.3,2.14,2.23,9250.0,11.817666666666666,14.571944444444444,11h 49m 03.6s,+14° 34′ 19″,1.44,1.39,1.36
γ Centauri,,0.016,62.5,2.1500000000000004,2.17,2.16,9750.0,12.691944444444445,-47.040277777777774,12h 41m 31.0s,-48° 57′ 35″,1.38,1.27,1.28
γ Cygni,Sadr,0.003,333.3333333333333,3.41,2.2,2.8800000000000003,6300.0,20.370472222222222,40.25666666666667,20h 22m 13.7s,+40° 15′ 24″,2.34,2.66,2.3
λ Velorum,Suhail,0.022,45.45454545454546,5.68,2.21,3.87,4400.0,9.133277777777778,-42.5675,09h 07m 59.8s,-43° 25′ 57″,3.19,6.59,4.45
α Cassiopeiae,Schedar,0.016,62.5,4.529999999999999,2.23,3.4,5000.0,0.6751388888888888,56.53722222222222,00h 40m 30.5s,+56° 32′ 14″,3.16,4.54,3.54
δ Orionis,Mintaka,0.014,71.42857142857143,0.9599999999999997,2.23,2.01,33000.0,5.533444444444444,0.29916666666666664,05h 32m 00.4s,-00° 17′ 57″,0.57,0.47,0.42
α Coronae Borealis,Alphecca,0.045,22.22222222222222,2.19,2.23,2.21,10000.0,15.578138888888889,26.71472222222222,15h 34m 41.3s,+26° 42′ 53″,1.29,1.2,1.2
γ Draconis,Eltanin,0.025,40.0,5.62,2.23,3.75,4250.0,17.943444444444445,51.48888888888889,17h 56m 36.4s,+51° 29′ 20″,3.84,7.27,5.35
ζ Puppis,Naos,,,0.8799999999999999,2.25,1.99,45000.0,8.059750000000001,-39.99666666666667,08h 03m 35.1s,-40° 00′ 12″,0.51,0.42,0.38
ι Carinae,Aspidiske,0.017,58.8235294117647,2.5900000000000003,2.25,2.43,8000.0,9.284833333333333,-58.724722222222226,09h 17m 05.4s,-59° 16′ 31″,1.75,1.66,1.63
γ¹ Andromedae,Almach,0.013,76.92307692307692,5.21,2.26,3.63,4550.0,2.065,42.32972222222222,02h 03m 54.0s,+42° 19′ 47″,3.41,5.83,4.4
β Cassiopeiae,Caph,0.072,13.88888888888889,2.7199999999999998,2.27,2.61,7200.0,0.1529722222222222,59.14972222222222,00h 09m 10.7s,+59° 08′ 59″,2.17,1.97,1.88
ζ Ursae Majoris,Mizar,0.047,21.27659574468085,2.32,2.27,2.29,9750.0,13.39875,54.92527777777777,13h 23m 55.5s,+54° 55′ 31″,1.27,1.22,1.21
ε Scorpii,,0.022,45.45454545454546,4.71,2.29,3.44,4700.0,16.836055555555554,-33.70666666666667,16h 50m 09.8s,-34° 17′ 36″,3.74,5.23,4.28
ε Centauri,,,,1.1599999999999997,2.3,2.0799999999999996,28000.0,13.664777777777779,-52.53361111111111,13h 39m 53.2s,-53° 27′ 59″,0.58,0.49,0.45
α Lupi,,,,1.2099999999999995,2.3,2.0999999999999996,28000.0,14.698833333333333,-46.611666666666665,14h 41m 55.8s,-47° 23′ 18″,0.57,0.49,0.44
η Centauri,,,,1.29,2.31,2.12,28000.0,14.591777777777779,-41.842222222222226,14h 35m 30.4s,-42° 09′ 28″,0.55,0.49,0.44
δ Scorpii,Dschubba,,,1.2899999999999996,2.32,2.1999999999999997,30000.0,16.005555555555556,-21.378333333333334,16h 00m 20.0s,-22° 37′ 18″,0.52,0.47,0.41
β Ursae Majoris,Merak,0.053,18.867924528301888,2.36,2.37,2.35,9750.0,11.030694444444446,56.3825,11h 01m 50.5s,+56° 22′ 57″,1.25,1.16,1.18
α Phoenicis,Ankaa,0.035,28.57142857142857,4.36,2.39,3.4800000000000004,5000.0,0.4380555555555556,-41.69388888888889,00h 26m 17.0s,-42° 18′ 22″,3.42,4.22,3.41
ε Pegasi,Enif,0.006,166.66666666666666,5.62,2.39,3.92,4700.0,21.736444444444444,9.875,21h 44m 11.2s,+09° 52′ 30″,2.46,5.0,3.43
κ Scorpii,Girtab,,,1.2999999999999998,2.41,2.19,28000.0,17.70813888888889,-38.97,17h 42m 29.3s,-39° 01′ 48″,0.54,0.47,0.43
β Pegasi,Scheat,0.022,45.45454545454546,6.05,2.42,4.09,3200.0,23.062916666666666,28.08277777777778,23h 03m 46.5s,+28° 04′ 58″,14.49,18.62,16.08
η Ophiuchi,Sabik,0.052,19.23076923076923,2.58,2.43,2.49,9500.0,17.172972222222224,-14.275277777777777,17h 10m 22.7s,-15° 43′ 29″,1.19,1.17,1.15
γ Ursae Majoris,Phecda,0.028,35.714285714285715,2.46,2.44,2.44,10000.0,11.897166666666665,53.69472222222222,11h 53m 49.8s,+53° 41′ 41″,1.14,1.09,1.08
α Cephei,Alderamin,0.068,14.705882352941176,2.77,2.44,2.66,8250.0,21.30966666666667,62.58555555555556,21h 18m 34.8s,+62° 35′ 08″,1.5,1.44,1.38
η Canis Majoris,Aludra,,,1.6500000000000001,2.45,2.37,20000.0,7.401583333333334,-28.696944444444444,07h 24m 05.7s,-29° 18′ 11″,0.61,0.56,0.5
ε Cygni,,0.057,17.543859649122805,4.36,2.46,3.49,5000.0,20.770194444444442,33.97027777777778,20h 46m 12.7s,+33° 58′ 13″,3.42,4.08,3.4
γ Cassiopeiae,Navi,0.016,62.5,1.2400000000000002,2.47,2.3200000000000003,30000.0,0.9451388888888889,60.71666666666667,00h 56m 42.5s,+60° 43′ 00″,0.53,0.44,0.39
α Pegasi,Markab,0.038,26.315789473684212,2.4000000000000004,2.49,2.45,12000.0,23.079361111111112,15.205277777777777,23h 04m 45.7s,+15° 12′ 19″,0.84,0.85,0.82
κ Velorum,,0.013,76.92307692307692,1.5699999999999998,2.5,2.32,26000.0,9.368555555555556,-54.98916666666667,09h 22m 06.8s,-55° 00′ 39″,0.51,0.47,0.42
α Ceti,Menkar,0.009,111.11111111111111,6.109999999999999,2.53,4.17,3350.0,3.038,4.089722222222222,03h 02m 16.8s,+04° 05′ 23″,10.69,14.69,12.34
ζ Centauri,,,,1.4099999999999997,2.55,2.3299999999999996,26000.0,13.925666666666666,-46.711666666666666,13h 55m 32.4s,-47° 17′ 18″,0.55,0.46,0.42
δ Leonis,Zosma,0.048,20.833333333333332,2.8000000000000003,2.56,2.68,9000.0,11.235138888888889,20.52361111111111,11h 14m 06.5s,+20° 31′ 25″,1.21,1.19,1.16
