BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,Diameter_U,Diameter_V,Diameter_B
θ¹ Orionis,,0.001,1000.0,7.709999999999999,7.96,8.2,30000.0,5.587805555555556,-4.6147222222222215,0.03,0.04,0.03
,,,,8.959999999999999,7.83,8.61,4850.0,1.2700277777777778,71.74388888888889,0.46,0.37,0.36
,,0.021,47.61904761904761,8.290000000000001,7.81,8.33,6450.0,8.444472222222222,24.53527777777778,0.23,0.19,0.18
,,,,,7.71,13.45,3600.0,4.9934722222222225,-13.194166666666666,,1.03,0.12
,,,,11.74,7.68,9.89,3050.0,7.122611111111111,22.703611111111112,1.43,2.03,1.43
,,,,7.61,7.62,7.61,9750.0,14.475416666666666,28.289166666666667,0.11,0.1,0.1
,,,,,7.48,,4700.0,17.280166666666666,49.691111111111105,,0.48,
,,-0.006,-166.66666666666666,,7.4,,2600.0,13.815888888888889,39.54277777777778,,4.91,
,,,,,7.4,,7200.0,23.58686111111111,-63.31055555555556,,0.19,
,,,,10.61,7.39,9.36,2600.0,0.40055555555555555,38.577222222222225,7.38,4.93,4.59
,,,,9.419999999999998,7.39,8.469999999999999,5000.0,15.192194444444445,-44.720555555555556,0.33,0.42,0.34
,,0.002,500.0,9.15,7.33,8.82,2450.0,21.15888888888889,68.49027777777778,23.03,6.94,8.64
,,0.003,333.3333333333333,,7.31,,9250.0,21.067944444444443,-4.176666666666667,,0.13,
,,,,7.76,7.31,7.75,7200.0,0.07519444444444444,-71.10222222222221,0.21,0.19,0.18
,,,,,7.3,,6750.0,18.903972222222222,41.22555555555556,,0.22,
,,0.01,100.0,,7.26,,12000.0,7.589388888888888,-73.72444444444444,,0.09,
,,,,7.7,7.25,7.74,6600.0,1.097611111111111,4.9094444444444445,0.28,0.24,0.22
,,0.005,200.0,7.39,7.25,7.33,9500.0,8.43838888888889,-38.93972222222222,0.13,0.13,0.12
,,0.052,19.23076923076923,8.23,7.25,7.96,5500.0,8.597583333333334,6.6225000000000005,0.4,0.35,0.32
,,,,,7.24,,5500.0,5.106111111111111,54.405833333333334,,0.35,
,,0.01,100.0,6.9,7.16,7.140000000000001,12000.0,7.589361111111111,-73.72444444444444,0.11,0.1,0.09
,,,,9.72,7.16,8.42,4850.0,18.866083333333336,-82.68361111111112,0.33,0.51,0.39
,,-0.013,-76.92307692307692,9.459999999999999,7.14,8.459999999999999,7200.0,19.610472222222224,20.33277777777778,0.1,0.21,0.13
,,,,6.38,7.13,6.9799999999999995,22000.0,7.480972222222222,-30.153055555555557,0.06,0.06,0.06
