mjd errmjd ucord_m vcord_m
59623.849129 0.013888 54.285573 58.446079
59623.863448 0.013886 51.901489 57.952582
59623.871113 0.002240 50.450360 57.698059
59623.894659 0.006154 45.273156 56.965643
59623.903309 0.011071 43.114654 56.717587
59623.935543 0.007674 33.999454 55.908556
59623.945882 0.012933 30.760093 55.691311
59624.020399 0.002324 4.462750 54.823968
59624.047214 0.006609 -5.553291 54.833476
59624.057619 0.010969 -9.412970 54.884006
59624.073896 0.003459 -15.363111 55.014922
59624.841807 0.000765 54.957465 58.608795
59624.847073 0.009751 54.183147 58.422374
59624.864561 0.003945 51.188833 57.824065
59624.883843 0.000024 47.169273 57.208130
59624.890796 0.013887 45.545857 56.998995
59624.899989 0.004449 43.265855 56.734100
59624.924046 0.002952 36.633770 56.109454
59624.932489 0.013886 34.098468 55.915695
59624.939428 0.000027 31.942484 55.767042
59625.018261 0.008935 4.241784 54.822296
59625.026215 0.006926 1.270888 54.808072
59625.045936 0.009153 -6.093936 54.838964
59625.057469 0.013886 -10.364543 54.900560
59625.066584 0.004324 -13.701872 54.971726
59625.837485 0.009386 55.179727 58.665673
59625.848295 0.012240 53.562727 58.284242
59625.881899 0.003447 46.990251 57.184126
59625.891835 0.002115 44.629118 56.888748
59625.922094 0.006850 36.404122 56.091002
59625.927387 0.003665 34.820650 55.968713
59626.006417 0.004836 7.632863 54.857411
59626.015775 0.013888 4.150644 54.821631
59626.028267 0.011046 -0.517758 54.806903
59626.853716 0.002913 52.178561 58.004576
59626.908924 0.005392 39.407174 56.347816
59626.918584 0.013885 36.634077 56.109479
59626.931675 0.012263 32.661672 55.815074
59626.993530 0.002870 11.381639 54.920074
59626.997699 0.005435 9.847316 54.891359
59627.022634 0.000218 0.567988 54.806951
59627.029649 0.013815 -2.055362 54.810336
59627.039246 0.005230 -5.636221 54.834285
59627.865293 0.009211 49.419038 57.532772
59627.882412 0.002879 45.592010 57.004688
59627.889480 0.011175 43.854662 56.799594
59627.923070 0.004870 34.473280 55.943002
59627.932107 0.013202 31.667454 55.749071
59627.966727 0.000925 20.052864 55.165987
59627.974111 0.013886 17.432779 55.076185
59627.987989 0.013884 12.411260 54.941761
59628.000877 0.011847 7.662277 54.857804
59628.905706 0.011781 38.775921 56.290933
59628.914849 0.006500 36.123992 56.068744
59628.979548 0.003055 14.491348 54.991599
59628.988054 0.013885 11.387055 54.920183
59628.997197 0.004381 8.014002 54.862628
59989.903600 0.000643 42.502997 56.652020
59989.919647 0.011699 38.103685 56.232108
59989.932454 0.013887 34.311043 55.931127
59989.946336 0.013886 29.948718 55.641597
59989.960214 0.013887 25.358884 55.392478
59989.974095 0.013883 20.574040 55.185531
59989.991118 0.020100 14.495458 54.991706
59999.916624 0.010604 30.722673 55.688978
59999.927233 0.010613 27.261793 55.489377
59999.937851 0.010612 23.675830 55.313873
59999.948463 0.010615 19.986275 55.163530
59999.959070 0.010602 16.209114 55.038953
59999.969679 0.010613 12.358916 54.940611
59999.980284 0.010612 8.455151 54.868991
59999.990903 0.010613 4.508384 54.824325
60000.001517 0.010624 0.542997 54.806927
60000.012133 0.010601 -3.425467 54.816856
60000.022745 0.010626 -7.376785 54.854050
60000.033369 0.010612 -11.299671 54.918431
60000.040260 0.003089 -13.818343 54.974584
