BayerF,Common,Parallax,Distance,Umag,Vmag,Bmag,Temp,RA_decimal,Dec_decimal,RA,Dec,Diameter_U,Diameter_V,Diameter_B,Area,Intensity Variation
α Boötis,Arcturus,0.09,11.111,2.46,-0.04,1.19,4850.0,14.261,19.183,14h 15m 39.7s,+19° 10′ 57″,9.26,14.02,10.84,4456.530301466944,0.0016
α Lyrae,Vega,0.123,8.13,0.02,0.03,0.03,10000.0,18.616,38.784,18h 36m 56.3s,+38° 47′ 01″,3.49,3.3,3.28,8495.508708598243,0.132
α Cygni,Deneb,-0.006,-166.667,1.1,1.25,1.34,9500.0,20.691,45.28,20h 41m 25.9s,+45° 16′ 49″,2.36,2.02,1.96,9637.053430500695,1.1602
ε Ursae Majoris,Alioth,0.009,111.111,1.77,1.77,1.75,10000.0,12.9,55.96,12h 54m 01.7s,+55° 57′ 35″,1.56,1.48,1.49,11238.718455269041,0.3259
η Ursae Majoris,Alkaid,0.035,28.571,1.0,1.86,1.67,24000.0,13.792,49.313,13h 47m 32.4s,+49° 18′ 48″,0.7,0.65,0.6,10284.380659272221,39.2902
,,,,,2.0,2.1,24000.0,15.992,25.92,15h 59m 30.2s,+25° 55′ 13″,,0.61,0.49,5928.484808081174,36.7965
α Ursae Minoris,Polaris,0.007,142.857,3.0,2.02,2.62,6450.0,2.53,89.264,02h 31m 48.7s,+89° 15′ 51″,2.63,2.75,2.44,13561.614879450835,0.2396
β Ursae Minoris,Kochab,0.039,25.641,5.33,2.08,3.55,4400.0,14.845,74.156,14h 50m 42.3s,+74° 09′ 20″,3.75,7.0,5.15,13047.466795074337,0.016
α Ophiuchi,Rasalhague,0.067,14.925,2.33,2.08,2.23,8750.0,17.582,12.56,17h 34m 56.1s,+12° 33′ 36″,1.6,1.55,1.5,2949.3774651427525,1.2978
γ Cygni,Sadr,0.003,333.333,3.41,2.2,2.88,6300.0,20.37,40.257,20h 22m 13.7s,+40° 15′ 24″,2.34,2.66,2.3,8764.472186163472,0.1922
α Coronae Borealis,Alphecca,0.045,22.222,2.19,2.23,2.21,10000.0,15.578,26.715,15h 34m 41.3s,+26° 42′ 53″,1.29,1.2,1.2,6097.165894116413,0.3974
γ Draconis,Eltanin,0.025,40.0,5.62,2.23,3.75,4250.0,17.943,51.489,17h 56m 36.4s,+51° 29′ 20″,3.84,7.27,5.35,10612.685010930476,0.0116
ζ Ursae Majoris,Mizar,0.047,21.277,2.32,2.27,2.29,9750.0,13.399,54.925,13h 23m 55.5s,+54° 55′ 31″,1.27,1.22,1.21,11099.7486167934,1.7026
η Ophiuchi,Sabik,0.052,19.231,2.58,2.43,2.49,9500.0,17.173,-14.275,17h 10m 22.7s,-15° 43′ 29″,1.19,1.17,1.15,3344.2470554540632,1.5186
α Cephei,Alderamin,0.068,14.706,2.77,2.44,2.66,8250.0,21.31,62.586,21h 18m 34.8s,+62° 35′ 08″,1.5,1.44,1.38,12039.678321337002,0.28
ζ Ophiuchi,,0.003,333.333,1.72,2.56,2.58,33000.0,16.619,-9.433,16h 37m 09.5s,-10° 34′ 02″,0.4,0.41,0.33,2222.8528714661575,65.6864
β Librae,Zubeneschamali,-0.003,-333.333,2.14,2.61,2.5,14000.0,15.283,-8.617,15h 17m 00.4s,-09° 22′ 59″,0.75,0.69,0.66,2032.086874313585,29.8378
α Serpentis,Unukalhai,0.053,18.868,5.06,2.65,3.82,4700.0,15.738,6.426,15h 44m 16.1s,+06° 25′ 32″,3.19,4.44,3.59,1517.9395226427305,0.036
